out_type,raw
waveMaxHeight,waveMaxHeight 1.5-2.5 FALLING AROUND 1.5 BY MID AFTERNOON
wavePeriod,wavePeriod SEAS: 03-05. SWELL: 09
wind10M,wind10M NNW 06-10 GRADUALLY VEERING E 02-06 BY EVENING
wind50M,wind50M NNW 10-14 GRADUALLY VEERING E 04-08 BY EVENING
waveSigHeight,waveSigHeight 1.5-2.0 LATER FALLING 1.5
waveMaxHeight,waveMaxHeight 2.5-3.0 LATER FALLING 2.5
wind10M,wind10M WSW 28-32 GUSTS 40 VEERING W'LY 40-45 GUSTS 60 BY EVENING
wind50M,wind50M WSW 35-40 GUSTS 50 VEERING W'LY 50-55 GUSTS 70 BY EVENING
waveSigHeight,waveSigHeight 3.5-4.0 RISING 7.0-8.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 5.5-6.5 RISING 11.0-13.0 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 13-14
wind10M,wind10M ESE 14-18 GRADUALLY INCREASING E'LY 26-30 GUSTS 40 BY MIDNIGHT
wind50M,wind50M ESE 17-22 GRADUALLY INCREASING E'LY 32-38 GUSTS 48 BY MIDNIGHT
waveSigHeight,waveSigHeight AROUND 2.0 RISING 4.0 BY MIDNIGHT
waveMaxHeight,waveMaxHeight AROUND 3.0 RISING 6.5 BY MIDNIGHT
wavePeriod,wavePeriod SEA: 4-5 RISING 6-7 SWELL: 9-11
wind10M,"wind10M SW-S 25-30 SOON VEERING SW-W, EASING GRADUALLY 18-22"
wind50M,"wind50M SW-S 30-38 SOON VEERING SW-W, EASING GRADUALLY 22-28"
waveSigHeight,"waveSigHeight 2.0-2.5 RISING 3.0-3.5 FOR A TIME, FALLING 2.5-3.0"
waveMaxHeight,"waveMaxHeight 3.0-4.0 RISING 5.0-5.5 FOR A TIME, FALLING 4.0-5.0"
wavePeriod,wavePeriod 5-10
wind10M,wind10M WNW 14-18 GRADUALLY VEERING NW 06-10 BY LATE EVENING
wind50M,wind50M WNW 18-22 GRADUALLY VEERING NW 10-14 BY LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5
waveMaxHeight,waveMaxHeight 5.0-5.5
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 10-11
wind10M,wind10M N-NNW 25-30 GUSTS 40 EASING GRADUALLY 12-18
wind50M,wind50M N-NNW 30-38 GUSTS 50 EASING GRADUALLY 15-22
waveSigHeight,waveSigHeight 4.0-4.5 FALLING AROUND 2.5
waveMaxHeight,waveMaxHeight 6.5-7.5 FALLING AROUND 4.0
wavePeriod,wavePeriod 7-11
wind10M,wind10M N'LY 18-22 GUSTS 30 BACKING NNW 10-14 BY LATE AFTERNOON THEN VEERING NNE 18-22 GUSTS 30 AGAIN LATE EVENING
wind50M,wind50M N'LY 22-28 GUSTS 36 BACKING NNW 14-18 BY LATE AFTERNOON THEN VEERING NNE 22-28 GUSTS 36 AGAIN LATE EVENING
waveSigHeight,waveSigHeight AROUND 2.5 RISING 2.5-3.0 BY EVENING
waveMaxHeight,waveMaxHeight AROUND 4.0 RISING 4.0-5.0 BY EVENING
wind10M,"wind10M N-NE 08-12 BACKING NW-W LESS THAN 08 BY AFTERNOON, THEN SW BY MIDNIGHT"
wind50M,"wind50M N-NE 10-15 BACKING NW-W LESS THAN 10 BY AFTERNOON, THEN SW BY MIDNIGHT"
waveSigHeight,waveSigHeight AROUND 1.5 FALLING GRADUALLY FALLING NEAR 1.0
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING GRADUALLY FALLING NEAR 1.5
wavePeriod,wavePeriod SEA: 4 FALLING 1-3 SWELL: NNE-N 5-6
wind10M,wind10M SW 06-10 LATER INCREASING 08-12
wind50M,wind50M SW 10-14 LATER INCREASING 12-15
waveSigHeight,waveSigHeight 1.5-2.0 FALLING 0.5-1.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING 1.0-1.5 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: CONFUSED
wind10M,wind10M NW 22-26 GUSTS 34 EASING 16-20 BY LATE EVENING
wind50M,wind50M NW 28-32 GUSTS 40 EASING 20-26 BY LATE EVENING
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 2.0-2.5 BY EVENING
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 3.0-4.0 BY EVENING
wind10M,wind10M SE 04-08 BACKING ESE-ENE BY MIDDAY THEN NE-NNE 02-06 BY EVENING
wind50M,wind50M SE 08-12 BACKING ESE-ENE BY MIDDAY THEN NE-NNE 04-08 BY EVENING
waveSigHeight,waveSigHeight 1.0-1.5 FALLING AROUND 1.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 1.5-2.5 FALLING AROUND 1.5 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 04-06. SWELL: 09
wind10M,"wind10M S 12-18 VEERING SW-W BY AFTERNOON, EASING NW-N  8 OR LESS LATER"
wind50M,"wind50M S 15-22 VEERING SW-W BY AFTERNOON, EASING NW-N 10 OR LESS LATER"
waveSigHeight,waveSigHeight 1.5-2.0
waveMaxHeight,waveMaxHeight 2.5-3.0
wind10M,wind10M SE-ESE 08-12 INCREASING 22-26 BY LATE AFTERNOON THEN EASING SE 14-18 BY LATE EVENING
wind50M,wind50M SE-ESE 12-15 INCREASING 28-32 BY LATE AFTERNOON THEN EASING SE 18-22 BY LATE EVENING
waveSigHeight,waveSigHeight AROUND 1.5 GRADUALLY RISING 3.5
waveMaxHeight,waveMaxHeight AROUND 2.5 GRADUALLY RISING 5.5
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 07-08 LATER 09
wind10M,wind10M WNW 38-42 GUSTS 55 GRADUALLY EASING AND LATER VEERING NW 24-28 GUSTS 40
wind50M,wind50M WNW 45-52 GUSTS 65 GRADUALLY EASING AND LATER VEERING NW 30-35 GUSTS 50
waveSigHeight,waveSigHeight 7.0-9.0 GRADUALLY FALLING 5.5-6.5
waveMaxHeight,waveMaxHeight 11.0-14.0 GRADUALLY FALLING 9.0-10.5
wavePeriod,wavePeriod 11-14
wind10M,wind10M E'LY 30-35 GUSTS 45 VEERING SE 20-24 BY MID AFTERNOON THEN BACKING ENE 30-35 GUSTS 45 LATER
wind50M,wind50M E'LY 38-44 GUSTS 55 VEERING SE 25-30 BY MID AFTERNOON THEN BACKING ENE 38-44 GUSTS 55 LATER
waveSigHeight,waveSigHeight 4.0-4.5 RISING AROUND 5.0 LATER
waveMaxHeight,waveMaxHeight 6.5-7.0 RISING AROUND 8.0 LATER
wavePeriod,wavePeriod 8-11
wind10M,"wind10M S-SW 18-22 SOON BACKING S-SE 22-28, VEERING AND INCREASING S-SW 30-35 EARLY AFTERNOON, INCREASING 40-45 GUSTS 58 BY EVENING, EASING SW-W 30-35 LATER"
wind50M,"wind50M S-SW 22-28 SOON BACKING S-SE 28-35, VEERING AND INCREASING S-SW 38-45 EARLY AFTERNOON, INCREASING 50-55 GUSTS 68 BY EVENING, EASING SW-W 38-45 LATER"
waveSigHeight,waveSigHeight 2.5-3.0 RISING 4.0-5.0 DURING THE AFTERNOON AND 5.0-6.0 DURING THE EVENING
waveMaxHeight,waveMaxHeight 4.0-5.0 RISING 6.5-8.0 DURING THE AFTERNOON AND 8.0-9.5 DURING THE EVENING
wavePeriod,wavePeriod 8-9 RISING 10-12
wind10M,wind10M WNW 08-12 FALLING VARIABLE 02-06 BY MIDDAY THEN SETTING ENE 04-08 IN THE EVENING
wind50M,wind50M WNW 12-15 FALLING VARIABLE 04-08 BY MIDDAY THEN SETTING ENE 08-12 IN THE EVENING
waveSigHeight,waveSigHeight AROUND 3.0 FALLING 2.0-2.5 BY EVENING
waveMaxHeight,waveMaxHeight AROUND 5.0 FALLING 3.0-4.0 BY EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 09-10
wind10M,wind10M NNE 24-28 GUSTS 36 GRADUALLY DECREASING NE 10-14 BY LATE EVENING
wind50M,wind50M NNE 30-35 GUSTS 45 GRADUALLY DECREASING NE 14-18 BY LATE EVENING
waveSigHeight,waveSigHeight 4.0-4.5 FALLING 2.5-3.0 BY EVENING
waveMaxHeight,waveMaxHeight 6.5-7.0 FALLING 4.0-5.0 BY EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 10 LATER 09
wind10M,"wind10M VARIABLE LESS THAN 10 FRESHENING S-SE 12-18 BY MID AFTERNOON, AND 16-20 THIS EVENING"
wind50M,"wind50M VARIABLE LESS THAN 12 FRESHENING S-SE 15-22 BY MID AFTERNOON, AND 20-25 THIS EVENING"
waveSigHeight,waveSigHeight AROUND 1.0 RISING 1.5 LATER
waveMaxHeight,waveMaxHeight AROUND 1.5 RISING 2.5 LATER
wavePeriod,wavePeriod 3-6
wind10M,wind10M SSW 18-22 BACKING SSE 26-30 BY MIDDAY THEN VEERING SSW 18-22 BY LATE AFTERNOON BEFORE BACKING ESE 32-36 BY LATE EVENING
wind50M,wind50M SSW 22-28 BACKING SSE 32-38 BY MIDDAY THEN VEERING SSW 22-28 BY LATE AFTERNOON BEFORE BACKING ESE 40-45 BY LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5 RISING 4.5-5.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 7.0-8.0 BY LATE EVENING
wind10M,wind10M W'LY 8-12 SLOWLY EASING W-NW 10 OR LESS
wind50M,wind50M W'LY 10-15 SLOWLY EASING W-NW 12 OR LESS
waveSigHeight,waveSigHeight 1.0-1.5 BECOMING MAINLY 1.0
waveMaxHeight,waveMaxHeight 1.5-2.5 BECOMING MAINLY 1.5
wavePeriod,"wavePeriod 3-4 WIND WAVE, 7-8 SWELL"
wind10M,wind10M NW'LY 8-12 SOON W-NW 10 OR LESS AND LATER BACKING SW 8-12
wind50M,wind50M NW'LY 10-15 SOON W-NW 12 OR LESS AND LATER BACKING SW 10-15
waveSigHeight,waveSigHeight AROUND 2.5 MAINLY NW SWELL SLOWLY FALLING TO 1.0-1.5
waveMaxHeight,waveMaxHeight AROUND 4.0 MAINLY NW SWELL SLOWLY FALLING TO 1.5-2.5
wavePeriod,"wavePeriod 3-4 WIND WAVE, 6-8 SWELL"
wind10M,wind10M NE 08-12 BACKING NNE-N'LY 14-18 BY MID AFTERNOON RISK GUSTS TO 30 IN ANY THUNDERSTORM
wind50M,wind50M NE 12-15 BACKING NNE-N'LY 18-22 BY MID AFTERNOON RISK GUSTS TO 35 IN ANY THUNDERSTORM
waveSigHeight,waveSigHeight 1.5-2.0 RISING 2.0-2.5 BY MIDDAY
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 3.0-4.0 BY MIDDAY
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 08
wind10M,wind10M NE-NNE 02-06 INCREASING 08-12 BY EVENING
wind50M,wind50M NE-NNE 04-08 INCREASING 12-15 BY EVENING
waveSigHeight,waveSigHeight AROUND 1.0 FALLING 0.5-1.0 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight AROUND 1.5 FALLING 1.0-1.5 BY LATE AFTERNOON
wavePeriod,wavePeriod SEAS: 03-05. SWELL: 09-10
wind10M,wind10M SE-SSE 08-12 INCREASING 16-20 BY EVENING
wind50M,wind50M SE-SSE 12-15 INCREASING 20-26 BY EVENING
waveSigHeight,waveSigHeight 3.0-4.0
waveMaxHeight,waveMaxHeight 5.0-6.5
wind10M,wind10M NNW 22-28 GUSTS 38 GRADUALLY DECREASING 20-25 BY END OF PERIOD
wind50M,wind50M NNW 27-35 GUSTS 45 GRADUALLY DECREASING 25-32 BY END OF PERIOD
waveSigHeight,waveSigHeight AROUND 6.0 GRADUALLY FALLING 5.0-5.5 BY END OF PERIOD
waveMaxHeight,waveMaxHeight AROUND 10.0 GRADUALLY FALLING 8.0-9.0 BY END OF PERIOD
wavePeriod,wavePeriod 10-13
wind10M,wind10M ENE-NE 22-26 INCREASING 26-32 GUSTS 40 FOR A TIME THEN GRADUALLY VEERING SE 16-20 BY LATE EVENING
wind50M,wind50M ENE-NE 28-32 INCREASING 32-40 GUSTS 48 FOR A TIME THEN GRADUALLY VEERING SE 20-26 BY LATE EVENING
waveSigHeight,waveSigHeight 4.0-4.5 FALLING 3.0-3.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 6.5-7.0 FALLING 5.0-5.5 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 11
wind10M,wind10M SW 30-34 GUSTS 45 SOON VEERING WNW 20-24 THEN BACKING SW 16-20 BY LATE AFTERNOON INCREASING 20-24 GUSTS 32 BY EVENING
wind50M,wind50M SW 38-43 GUSTS 55 SOON VEERING WNW 26-30 THEN BACKING SW 20-26 BY LATE AFTERNOON INCREASING 26-30 GUSTS 38 BY EVENING
waveSigHeight,waveSigHeight 4.0-5.0 FALLING 3.0 BY EVENING
waveMaxHeight,waveMaxHeight 6.5-8.0 FALLING 5.0 BY EVENING
wind10M,wind10M ENE 14-18 SOON 16-20 THEN GRADUALLY EASING 08-12 BY LATE EVENING
wind50M,wind50M ENE 18-22 SOON 20-26 THEN GRADUALLY EASING 12-15 BY LATE EVENING
waveSigHeight,waveSigHeight AROUND 2.0 FALLING 1.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight AROUND 3.0 FALLING 2.5 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 09 LATER 08
wind10M,wind10M E'LY 04-08 THEN VEERING S'LY INCREASING 30-34 GUSTS 42 BY LATE EVENING
wind50M,wind50M E'LY 08-12 THEN VEERING S'LY INCREASING 38-43 GUSTS 50 BY LATE EVENING
waveSigHeight,waveSigHeight 2.0-2.5 FALLING 1.5-2.0 BY MID AFTERNOON THEN RISING AROUND 3.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 3.0-4.0 FALLING 2.5-3.0 BY MID AFTERNOON THEN RISING AROUND 5.0 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 08-09
wind10M,wind10M S-SSE 18-22 EASING 14-18 BY EVENING
wind50M,wind50M S-SSE 22-28 EASING 17-22 BY EVENING
waveSigHeight,waveSigHeight AROUND 1.5 RISING 1.5-2.0 LATER
waveMaxHeight,waveMaxHeight AROUND 2.5 RISING 2.5-3.0 LATER
wavePeriod,wavePeriod 4-6
windconf,windconf LOW DUE TO UNCERTAINTY RE POSITION OF LOW
wind10M,wind10M E 20-24 BACKING NE 10-14 BY MID AFTERNOON THEN NNW 22-26 GUSTS 36 BY LATE EVENING
wind50M,wind50M E 26-30 BACKING NE 14-18 BY MID AFTERNOON THEN NNW 28-32 GUSTS 40 BY LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5 LATER MAINLY AROUND 3.5
waveMaxHeight,waveMaxHeight 5.0-5.5 LATER MAINLY AROUND 5.5
wind10M,wind10M NNW-N'LY 04-08 FALLING VARIABLE 02-04 LATE EVENING
wind50M,wind50M NNW-N'LY 08-12 FALLING VARIABLE 04-08 LATE EVENING
wavePeriod,wavePeriod SEAS: 03-05. SWELL: 10
wind10M,wind10M S-SW 10-15 BECOMING SW 15-20 BY THIS EVENING
wind50M,wind50M S-SW 12-18 BECOMING SW 20-25 BY THIS EVENING
waveSigHeight,waveSigHeight 1.0-1.5 BECOMING 1.5-2.0 LATER
waveMaxHeight,waveMaxHeight 1.5-2.5 BECOMING 2.5-3.0 LATER
wind10M,wind10M N-NE 12-18 INCREASING GRADUALLY 22-28 GUSTS 40
wind50M,wind50M N-NE 15-22 INCREASING GRADUALLY 28-35 GUSTS 50
waveSigHeight,waveSigHeight 2.0-2.5 RISING 3.0-3.5
waveMaxHeight,waveMaxHeight 3.0-4.0 RISING 5.0-5.5
wind10M,wind10M SSE 12-16 GRADUALLY BACKING ESE 02-06 BY LATE EVENING RISK GUSTS TO 30 IN ANY THUNDERSTORM
wind50M,wind50M SSE 15-20 GRADUALLY BACKING ESE 04-08 BY LATE EVENING RISK GUSTS TO 35 IN ANY THUNDERSTORM
waveSigHeight,waveSigHeight 3.0-4.0 FALLING LATER 2.5-3.0
waveMaxHeight,waveMaxHeight 5.0-6.5 FALLING LATER 4.0-5.0
wind10M,"wind10M NNW 20-25 GUSTS 35 BACKING/DECREASING W'LY LESS THAN 08 BY EARLY EVENING, VEERING WNW LATER"
wind50M,"wind50M NNW 25-32 GUSTS 42 BACKING/DECREASING W'LY LESS THAN 10 BY EARLY EVENING, VEERING WNW LATER"
waveSigHeight,"waveSigHeight 5.0-6.0 GRADUALLY FALLING 4.0-4.5, NNW SWELL"
waveMaxHeight,"waveMaxHeight 8.0-10.0 GRADUALLY FALLING 6.5-7.0, NNW SWELL"
wavePeriod,wavePeriod 11-13
wind10M,wind10M SE 08-12 GRADUALLY VEERING SSW 10-14 BY EVENING
wind50M,wind50M SE 12-15 GRADUALLY VEERING SSW 14-18 BY EVENING
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 2.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 3.0 BY LATE EVENING
wind10M,wind10M SW 24-28 GUSTS 36 BACKING SSW 20-24 IN THE EVENING
wind50M,wind50M SW 30-35 GUSTS 45 BACKING SSW 26-30 IN THE EVENING
waveSigHeight,waveSigHeight AROUND 3.0 FALLING 2.5-3.0 FOR A TIME
waveMaxHeight,waveMaxHeight AROUND 5.0 FALLING 4.0-5.0 FOR A TIME
wind10M,wind10M E-SE 10 OR LESS STEADILY RISING S-SE 12-18
wind50M,wind50M E-SE 12 OR LESS STEADILY RISING S-SE 15-22
waveSigHeight,waveSigHeight AROUND 1.5 EASING 1.0-1.5
waveMaxHeight,waveMaxHeight AROUND 2.5 EASING 1.5-2.5
wavePeriod,wavePeriod 5-8
wind10M,wind10M SE 20-25 SOON EASING AND BACKING NE-N 12-18
wind50M,wind50M SE 25-30 SOON EASING AND BACKING NE-N 15-22
waveSigHeight,waveSigHeight AROUND 3.0 FALLING 1.5-2.0
waveMaxHeight,waveMaxHeight AROUND 5.0 FALLING 2.5-3.0
wavePeriod,wavePeriod 6-11
wind10M,"wind10M S 32-36 GUSTS 45 SOON VEERING SSW 14-18, VEERING WNW 10-14 THIS EVENING"
wind50M,"wind50M S 40-45 GUSTS 55 SOON VEERING SSW 18-23, VEERING WNW 12-18 THIS EVENING"
waveSigHeight,waveSigHeight 4.0-4.5 FALLING 2.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 6.5-7.0 FALLING 4.0 BY LATE EVENING
wavePeriod,"wavePeriod SEA 6-7 FALLING 4, SWELL 7-9"
wind10M,"wind10M SSE-SE 06-12 OCCASIONALLY 15 BECOMING CYCLONIC VARIABLE BY MID AFTERNOON, INCREASING W'LY 20-25 GUSTS 32 THIS EVENING"
wind50M,"wind50M SSE-SE 07-15 OCCASIONALLY 18 BECOMING CYCLONIC VARIABLE BY MID AFTERNOON, INCREASING W'LY 25-32 GUSTS 42 THIS EVENING"
waveSigHeight,waveSigHeight AROUND 1.5 RISING 2.0-2.5 BY END OF PERIOD
waveMaxHeight,waveMaxHeight AROUND 2.5 RISING 3.0-4.0 BY END OF PERIOD
wavePeriod,wavePeriod 4-7
wind10M,wind10M N'LY 14-18 INCREASING 40-45 GUSTS 60 BY LATE AFTERNOON
wind50M,wind50M N'LY 18-22 INCREASING 50-55 GUSTS 70 BY LATE AFTERNOON
waveSigHeight,waveSigHeight 3.0-3.5 RISING 7.5-8.0
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 12.0-13.0
wind10M,wind10M NNW 04-08 VEERING NNE 02-06 BY LATE AFTERNOON THEN FALLING VARIABLE LATE EVENING
wind50M,wind50M NNW 08-12 VEERING NNE 04-08 BY LATE AFTERNOON THEN FALLING VARIABLE LATE EVENING
waveSigHeight,waveSigHeight AROUND 1.0
waveMaxHeight,waveMaxHeight AROUND 1.5
wavePeriod,wavePeriod SEAS: 02-04. SWELL: 10
wind10M,wind10M SW'LY 15-20 SLOWLY RISING 18-22
wind50M,wind50M SW'LY 20-25 SLOWLY RISING 22-28
waveSigHeight,waveSigHeight 2.5-3.0 WITH WSW SWELL SLOWLY FALLING 2.0-2.5
waveMaxHeight,waveMaxHeight 4.0-5.0 WITH WSW SWELL SLOWLY FALLING 3.0-4.0
wavePeriod,wavePeriod 6-9
wind10M,wind10M N-NE 10-14 RISING 14-18 BY AFTERNOON
wind50M,wind50M N-NE 12-18 RISING 18-23 BY AFTERNOON
wavePeriod,"wavePeriod SEA 3-5, SWELL 8"
wind10M,"wind10M N 12-18 OCCASIONALLY 18-22 GUSTS 32, EASING  8 OR LES BY AFTERNOON, BECOMING N-NE"
wind50M,"wind50M N 15-22OCCASIONALLY 22-28 GUSTS 40, EASING 10 OR LESS BY AFTERNOON, BECOMING N-NE"
waveSigHeight,waveSigHeight 2.0-2.5 OCCASIONALLY 2.5-3.0
waveMaxHeight,waveMaxHeight 3.0-4.0 OCCASIONALLY 4.0-5.0
wind10M,wind10M N-NNE 16-20 RISING 20-24 FOR A TIME THIS AFTERNOON
wind50M,wind50M N-NNE 20-25 RISING 25-30 FOR A TIME THIS AFTERNOON
waveSigHeight,"waveSigHeight 1.0-1.5 SOON RISING 1.5-2.0, RISING 2.0-2.5 FOR A TIME THIS AFTERNOON"
waveMaxHeight,"waveMaxHeight 1.5-2.5 SOON RISING 2.5-3.0, RISING 3.0-4.0 FOR A TIME THIS AFTERNOON"
wind10M,wind10M MAINLY S-SE 10 OR LESS BECOMING S'LY 8-12 LATER. GUSTS TO 25 IN SHOWERS
wind50M,wind50M MAINLY S-SE 12 OR LESS BECOMING S'LY 10-15 LATER. GUSTS TO 30 IN SHOWERS
waveSigHeight,waveSigHeight 2.5-3.0 INCLUDING SWELL SLOWLY DECREASING 2.0-2.5
waveMaxHeight,waveMaxHeight 4.0-5.0 INCLUDING SWELL SLOWLY DECREASING 3.0-4.0
wind10M,"wind10M NW-W 08-12 BACKING/INCREASING SSW 26-30 BY MID AFTERNOON, THEN VEERING W'LY 30-35 GUSTS 45 DURING THE EVENING"
wind50M,"wind50M NW-W 10-15 BACKING/INCREASING SSW 32-38 BY MID AFTERNOON, THEN VEERING W'LY 38-44 GUSTS 55 DURING THE EVENING"
waveSigHeight,"waveSigHeight AROUND 3.5 FALLING MAINLY 3.0 BY AFTERNOON, THEN RISI 4.0-4.5 BY END OF PERIOD"
waveMaxHeight,"waveMaxHeight AROUND 5.5 FALLING MAINLY 5.0 BY AFTERNOON, THEN RISI 6.5-7.0 BY END OF PERIOD"
wind10M,wind10M SSW 18-22 INCREASING 26-30 BY MIDDAY THEN EASING 18-22 BY EVENING
wind50M,wind50M SSW 22-28 INCREASING 32-38 BY MIDDAY THEN EASING 22-28 BY EVENING
waveSigHeight,"waveSigHeight AROUND 2.0 RISING 2.5-3.0 BY MIDDAY,LATER 2.0-2.5"
waveMaxHeight,"waveMaxHeight AROUND 3.0 RISING 4.0-5.0 BY MIDDAY,LATER 3.0-4.0"
wind10M,wind10M SSW 20-24 BACKING S'LY 14-18 BY LATE AFTERNOON INCREASING SSE 16-20 BY LATE EVENING
wind50M,wind50M SSW 26-30 BACKING S'LY 18-22 BY LATE AFTERNOON INCREASING SSE 20-26 BY LATE EVENING
waveSigHeight,waveSigHeight 2.5-3.0 FALLING AROUND 2.0 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING AROUND 3.0 BY LATE AFTERNOON
wind10M,wind10M SSE 20-25 INCREASING 22-28 FOR A TIME MID PERIOD
wind50M,wind50M SSE 25-32 INCREASING 27-35 FOR A TIME MID PERIOD
waveSigHeight,"waveSigHeight AROUND 2.0 RISING 3.0 BY EARLY EVENING, FALLING 2.5-3.0 LATER"
waveMaxHeight,"waveMaxHeight AROUND 3.0 RISING 5.0 BY EARLY EVENING, FALLING 4.0-5.0 LATER"
wind10M,"wind10M N-NW 10-15 SOON EASING  8 OR LESS, BACKING SW-W 12-18 BY EVENING, VEERING SW-W LATER"
wind50M,"wind50M N-NW 12-18 SOON EASING 10 OR LESS, BACKING SW-W 15-22 BY EVENING, VEERING SW-W LATER"
waveSigHeight,waveSigHeight 1.5-2.0 FALLING 1.0-1.5
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING 1.5-2.5
wavePeriod,wavePeriod 5-9
wind10M,wind10M NW 18-22 VEERING NNW THIS MORNING THEN RISING 28-32 GUSTS 40 BY EVENING
wind50M,wind50M NW 23-28 VEERING NNW THIS MORNING THEN RISING 35-40 GUSTS 50 BY EVENING
waveSigHeight,waveSigHeight 2.5-3.0 RISING 4.0-5.0
waveMaxHeight,waveMaxHeight 4.0-5.0 RISING 6.5-8.0
wavePeriod,"wavePeriod SEA 4-5 RISING 6-7, SWELL 8-10"
wind10M,wind10M N'LY 35-40 GUSTS 55 DECREASING 20-25 BY MIDNIGHT
wind50M,wind50M N'LY 45-50 GUSTS 65 DECREASING 25-32 BY MIDNIGHT
waveSigHeight,waveSigHeight 8.0-10.0 FALLING 4.5-5.5 BY MIDNIGHT
waveMaxHeight,waveMaxHeight 13.0-16.0 FALLING 7.0-9.0 BY MIDNIGHT
wind10M,wind10M NNE 04-08 BACKING NW'LY BY EVENING
wind50M,wind50M NNE 08-12 BACKING NW'LY BY EVENING
waveSigHeight,waveSigHeight AROUND 1.0 FALLING 0.5-1.0 BY AFTERNOON
waveMaxHeight,waveMaxHeight AROUND 1.5 FALLING 1.0-1.5 BY AFTERNOON
wavePeriod,wavePeriod SEAS: 02-04. SWELL: 11
wind10M,wind10M S-SW 18-22 EASING LATER TO 15-20
wind50M,wind50M S-SW 22-28 EASING LATER TO 20-25
